,open,high,low,close,volume,value,macd,signal,result
2024-03-23 22:03:00,93880000.0,93880000.0,93842000.0,93876000.0,2.09723032,196865595.84131,-30939.435073435307,3553.8921923330763,Hold
2024-03-23 22:04:00,93873000.0,93876000.0,93850000.0,93872000.0,2.97529564,279258896.33766,-37987.620493128896,-4754.410344759319,Hold
2024-03-23 22:05:00,93855000.0,93977000.0,93855000.0,93968000.0,4.26528447,400467329.14181,-35418.67607276142,-10887.263490359739,Hold
2024-03-23 22:06:00,93862000.0,93967000.0,93862000.0,93878000.0,2.64535659,248369754.17088,-40181.82587362826,-16746.17596701344,Hold
2024-03-23 22:07:00,93877000.0,93878000.0,93862000.0,93876000.0,2.8196874,264701971.43516,-43615.27000965178,-22119.994775541112,Hold
2024-03-23 22:08:00,93877000.0,93877000.0,93862000.0,93876000.0,2.2253676,208896577.98492,-45808.25023007393,-26857.645866447674,Hold
2024-03-23 22:09:00,93876000.0,93877000.0,93862000.0,93877000.0,1.47300707,138278502.32448,-46924.59370498359,-30871.03543415486,Hold
2024-03-23 22:10:00,93877000.0,93877000.0,93862000.0,93871000.0,1.61422655,151531323.32308,-47743.10105763376,-34245.448558850636,Hold
2024-03-23 22:11:00,93871000.0,93968000.0,93870000.0,93965000.0,1.94819525,182918603.44055,-40341.725324735045,-35464.70391202752,Hold
2024-03-23 22:12:00,93965000.0,93965000.0,93910000.0,93915000.0,3.05236843,286673426.94186,-38071.795900672674,-35986.12230975655,Hold
2024-03-23 22:13:00,93915000.0,93917000.0,93910000.0,93917000.0,2.20805204,207365752.8906,-35699.950387224555,-35928.88792525016,Buy
2024-03-23 22:14:00,93915000.0,93916000.0,93775000.0,93778000.0,7.23130895,678592430.02466,-44523.14891216159,-37647.740122632444,Hold
2024-03-23 22:15:00,93779000.0,93782000.0,93703000.0,93703000.0,2.43168417,227984721.84425,-56911.43095976114,-41500.478290058185,Hold
2024-03-23 22:16:00,93703000.0,93704000.0,93700000.0,93701000.0,2.37388433,222436401.26096,-66128.33078669012,-46426.04878938458,Hold
2024-03-23 22:17:00,93701000.0,93704000.0,93680000.0,93685000.0,1.65878113,155426738.08421,-73872.30266490579,-51915.29956448882,Hold
2024-03-23 22:18:00,93685000.0,93782000.0,93677000.0,93781000.0,6.93111655,649486938.90865,-71439.54783828557,-55820.149219248175,Hold
2024-03-23 22:19:00,93758000.0,93820000.0,93758000.0,93798000.0,1.9107003,179215089.04926,-67363.2920870781,-58128.77779281416,Hold
2024-03-23 22:20:00,93798000.0,93801000.0,93758000.0,93797000.0,1.18056724,110717498.83633,-63481.743654221296,-59199.370965095586,Hold
2024-03-23 22:21:00,93777000.0,93798000.0,93758000.0,93760000.0,1.21473051,113919100.12037,-62668.77273212373,-59893.251318501214,Hold
2024-03-23 22:22:00,93760000.0,93777000.0,93750000.0,93758000.0,1.37358911,128783664.7511,-61477.19981330633,-60210.04101746224,Hold
2024-03-23 22:23:00,93758000.0,93758000.0,93719000.0,93726000.0,0.85528,80176257.98382,-62395.742970228195,-60647.181408015436,Hold
2024-03-23 22:24:00,93719000.0,93727000.0,93686000.0,93686000.0,1.48563323,139205454.59485,-65595.21988266706,-61636.78910294577,Hold
2024-03-23 22:25:00,93686000.0,93709000.0,93594000.0,93605000.0,4.62252399,432761207.95499,-73815.94715158641,-64072.620712673895,Hold
2024-03-23 22:26:00,93606000.0,93744000.0,93586000.0,93670000.0,1.9793918,185303963.52131,-74230.29532922804,-66104.15563598473,Hold
2024-03-23 22:27:00,93624000.0,93777000.0,93624000.0,93670000.0,1.79970811,168631569.73032,-73708.99780082703,-67625.1240689532,Hold
2024-03-23 22:28:00,93670000.0,93774000.0,93670000.0,93693000.0,1.16962035,109566368.08591,-70625.82739765942,-68225.26473469444,Hold
2024-03-23 22:29:00,93693000.0,93700000.0,93671000.0,93695000.0,0.99198283,92945304.15241,-67245.84115701914,-68029.38001915939,Buy
2024-03-23 22:30:00,93695000.0,93699000.0,93693000.0,93694000.0,1.40777731,131899723.31941,-63911.14149662852,-67205.73231465323,Buy
2024-03-23 22:31:00,93699000.0,93699000.0,93640000.0,93669000.0,2.19635241,205699714.01374,-62564.454964995384,-66277.47684472166,Buy
2024-03-23 22:32:00,93669000.0,93669000.0,93643000.0,93643000.0,1.17392424,109943242.20877,-62870.44751183689,-65596.07097814471,Buy
2024-03-23 22:33:00,93651000.0,93669000.0,93642000.0,93650000.0,1.15250796,107932658.88426,-61835.30836749077,-64843.91845601392,Buy
2024-03-23 22:34:00,93650000.0,93669000.0,93650000.0,93655000.0,1.27063131,119002040.65154,-59920.76563768089,-63859.28789234732,Buy
2024-03-23 22:35:00,93655000.0,93655000.0,93644000.0,93644000.0,1.44596011,135409327.95699,-58615.40292188525,-62810.510898254906,Buy
2024-03-23 22:36:00,93646000.0,93649000.0,93610000.0,93610000.0,3.72641041,348937766.60582,-59636.95175796747,-62175.79907019742,Buy
2024-03-23 22:37:00,93610000.0,93641000.0,93600000.0,93601000.0,2.33667322,218734572.57932,-60475.635868772864,-61835.76642991252,Buy
2024-03-23 22:38:00,93602000.0,93640000.0,93602000.0,93640000.0,2.61530302,244818289.07212,-57332.43241292238,-60935.09962651449,Buy
2024-03-23 22:39:00,93639000.0,93777000.0,93617000.0,93699000.0,1.43780505,134685838.40884,-49509.894863039255,-58650.05867381945,Buy
2024-03-23 22:40:00,93741000.0,93797000.0,93663000.0,93663000.0,1.67052433,156603088.36504,-45688.70567308366,-56057.788073672295,Buy
2024-03-23 22:41:00,93732000.0,93786000.0,93664000.0,93761000.0,3.15587027,295895154.16256,-34356.56365048885,-51717.54318903561,Buy
2024-03-23 22:42:00,93691000.0,93761000.0,93691000.0,93694000.0,0.62615481,58670617.3187,-30431.30635473132,-47460.295822174754,Buy
2024-03-23 22:43:00,93694000.0,93750000.0,93667000.0,93693000.0,3.15073249,295216350.59597,-27088.938885331154,-43386.02443480604,Buy
2024-03-23 22:44:00,93693000.0,93693000.0,93600000.0,93600000.0,1.93082452,180780650.73306,-31580.372476160526,-41024.894043076936,Buy
2024-03-23 22:45:00,93600000.0,93693000.0,93600000.0,93602000.0,8.71327981,815594421.85712,-34579.867483481765,-39735.8887311579,Buy
2024-03-23 22:46:00,93602000.0,93632000.0,93520000.0,93536000.0,9.27379365,867863303.59942,-41800.78388540447,-40148.86776200721,Hold
2024-03-23 22:47:00,93536000.0,93590000.0,93500000.0,93574000.0,3.43112755,320890684.76211,-43950.49577996135,-40909.19336559804,Hold
2024-03-23 22:48:00,93521000.0,93699000.0,93521000.0,93686000.0,3.02736336,283356662.27198,-36199.40970556438,-39967.23663359131,Buy
2024-03-23 22:49:00,93708000.0,93900000.0,93686000.0,93788000.0,2.92640158,274547302.60611,-21577.340448349714,-36289.25739654299,Buy
2024-03-23 22:50:00,93788000.0,93862000.0,93664000.0,93862000.0,1.84663553,173113887.39526,-3972.2737602442503,-29825.860669283244,Buy
2024-03-23 22:51:00,93862000.0,93895000.0,93827000.0,93842000.0,1.7342028,162768414.40989,8270.696137964725,-22206.54930783365,Hold
2024-03-23 22:52:00,93890000.0,93967000.0,93842000.0,93939000.0,3.09223928,290412692.55552,25506.40536148846,-12663.958373969228,Hold
2024-03-23 22:53:00,93939000.0,93939000.0,93848000.0,93874000.0,2.9243593,274627167.869,33534.309677794576,-3424.3047636164674,Hold
2024-03-23 22:54:00,93874000.0,93900000.0,93849000.0,93880000.0,1.37105556,128711746.57669,39920.453405067325,5244.646870120292,Hold
2024-03-23 22:55:00,93876000.0,93901000.0,93875000.0,93899000.0,2.37646322,223112138.91989,45984.5779389143,13392.633083879093,Hold
2024-03-23 22:56:00,93899000.0,93931000.0,93879000.0,93897000.0,3.05846657,287170741.82255,50052.08772538602,20724.52401218048,Hold
2024-03-23 22:57:00,93897000.0,93953000.0,93897000.0,93897000.0,1.31000741,123023498.01785,52668.48898002505,27113.3170057494,Hold
2024-03-23 22:58:00,93897000.0,93925000.0,93852000.0,93880000.0,2.3655188,222086594.54944,52762.03994613886,32243.061593827293,Hold
2024-03-23 22:59:00,93880000.0,93928000.0,93852000.0,93853000.0,4.77179261,447955779.47954,50080.21190024912,35810.49165511166,Hold
2024-03-23 23:00:00,93857000.0,93857000.0,93853000.0,93853000.0,1.54614973,145112637.89881,47408.34990532696,38130.06330515473,Hold
2024-03-23 23:01:00,93854000.0,93880000.0,93853000.0,93877000.0,2.14533742,201362445.51824,46689.274554267526,39841.90555497729,Hold
2024-03-23 23:02:00,93877000.0,93879000.0,93850000.0,93850000.0,3.00931717,282440472.16299,43439.97877146304,40561.52019827444,Hold
2024-03-23 23:03:00,93850000.0,93853000.0,93705000.0,93796000.0,2.91496409,273412325.38632,36091.49941149354,39667.516040918264,Hold
2024-03-23 23:04:00,93796000.0,93809000.0,93794000.0,93798000.0,1.04353807,97879572.48364,30082.38880853355,37750.490594441326,Hold
2024-03-23 23:05:00,93800000.0,93800000.0,93794000.0,93798000.0,1.70988221,160380603.26006,25031.576925203204,35206.7078605937,Hold
2024-03-23 23:06:00,93798000.0,93853000.0,93795000.0,93799000.0,4.53825895,425675245.12928,20868.90007159114,32339.14630279319,Hold
2024-03-23 23:07:00,93799000.0,93858000.0,93799000.0,93856000.0,1.21072092,113592990.58643,21916.729886338115,30254.66301950218,Hold
2024-03-23 23:08:00,93856000.0,93856000.0,93834000.0,93849000.0,1.60303327,150448890.24451,21929.511309430003,28589.632677487745,Hold
2024-03-23 23:09:00,93849000.0,93849000.0,93834000.0,93835000.0,0.96086786,90166389.45375,20572.807167306542,26986.267575451508,Hold
2024-03-23 23:10:00,93835000.0,93849000.0,93835000.0,93849000.0,1.021114,95818888.38215,20392.223498493433,25667.458760059897,Hold
2024-03-23 23:11:00,93838000.0,93849000.0,93800000.0,93815000.0,1.42589312,133781089.72815,17306.09984345734,23995.186976739387,Hold
2024-03-23 23:12:00,93799000.0,93815000.0,93700000.0,93714000.0,1.81565246,170239809.62287,6633.996126905084,20522.948806772525,Hold
2024-03-23 23:13:00,93714000.0,93714000.0,93686000.0,93695000.0,1.2737749,119355815.39563,-3318.6093048900366,15754.637184440013,Hold
2024-03-23 23:14:00,93695000.0,93695000.0,93603000.0,93659000.0,1.35563272,126952458.66097,-13950.21060551703,9813.667626448605,Hold
2024-03-23 23:15:00,93659000.0,93660000.0,93600000.0,93616000.0,2.04766556,191694100.85994,-25551.035435318947,2740.727014095094,Hold
2024-03-23 23:16:00,93616000.0,93660000.0,93563000.0,93588000.0,6.45879316,604565882.18528,-36582.439100414515,-5123.906208806828,Hold
2024-03-23 23:17:00,93586000.0,93612000.0,93535000.0,93606000.0,4.23321528,396047435.26673,-43372.48540097475,-12773.622047240413,Hold
2024-03-23 23:18:00,93602000.0,93716000.0,93560000.0,93711000.0,1.56683779,146719484.87043,-39821.98053216934,-18183.2937442262,Hold
2024-03-23 23:19:00,93707000.0,93730000.0,93707000.0,93710000.0,1.25200204,117326438.41374,-36666.20628418028,-21879.87625221702,Hold
2024-03-23 23:20:00,93709000.0,93785000.0,93687000.0,93785000.0,1.10454873,103535780.22415,-27792.979095190763,-23062.496820811768,Hold
2024-03-23 23:21:00,93785000.0,93788000.0,93735000.0,93739000.0,1.5228392,142802455.81428,-24193.80703434348,-23288.758863518113,Hold
2024-03-23 23:22:00,93770000.0,93816000.0,93740000.0,93791000.0,0.71346084,66918167.25029,-16950.08183528483,-22021.02345787146,Buy
2024-03-23 23:23:00,93791000.0,93812000.0,93735000.0,93798000.0,1.39037722,130375426.08837,-10523.230675503612,-19721.464901397892,Buy
2024-03-23 23:24:00,93798000.0,93811000.0,93791000.0,93792000.0,0.94041199,88206614.7095,-5846.658049747348,-16946.503531067785,Buy
2024-03-23 23:25:00,93792000.0,93798000.0,93780000.0,93780000.0,0.94559708,88686932.5442,-3073.31302331388,-14171.865429517004,Buy
2024-03-23 23:26:00,93783000.0,93846000.0,93780000.0,93804000.0,1.85901893,174378114.45922,1049.089068904519,-11127.674529832699,Hold
2024-03-23 23:27:00,93845000.0,93908000.0,93816000.0,93908000.0,2.20430175,206954088.29127,12563.232143208385,-6389.493195224482,Hold
2024-03-23 23:28:00,93920000.0,94100000.0,93902000.0,94078000.0,5.5195664,518856099.95463,35002.36723397672,1888.8788906157588,Hold
2024-03-23 23:29:00,94078000.0,94108000.0,94018000.0,94063000.0,6.97744686,656423234.97798,50987.41760726273,11708.586633945153,Hold
2024-03-23 23:30:00,94063000.0,94599000.0,94063000.0,94599000.0,28.41238406,2681917184.66323,105688.09903810918,30504.489114777964,Hold
2024-03-23 23:31:00,94585000.0,94635000.0,94314000.0,94576000.0,15.54652707,1468985123.3448,145505.5776629746,53504.7068244173,Hold
2024-03-23 23:32:00,94575000.0,94750000.0,94503000.0,94750000.0,16.50008141,1561477876.67012,188923.7665837258,80588.518776279,Hold
2024-03-23 23:33:00,94749000.0,94774000.0,94577000.0,94666000.0,13.58069214,1286009923.81501,214087.03406770527,107288.22183456426,Hold
2024-03-23 23:34:00,94667000.0,94696000.0,94577000.0,94642000.0,8.08193928,765020011.16122,229447.5765800178,131720.09278365498,Hold
2024-03-23 23:35:00,94660000.0,94663000.0,94403000.0,94588000.0,11.98056357,1132523653.02379,234559.71015428007,152288.01625778,Hold
2024-03-23 23:36:00,94588000.0,94663000.0,94476000.0,94588000.0,9.25306536,875060901.84584,235891.89788164198,169008.7925825524,Hold
2024-03-23 23:37:00,94584000.0,94588000.0,94417000.0,94417000.0,4.74635056,448524780.19331,220606.38230755925,179328.31052755378,Hold
2024-03-23 23:38:00,94426000.0,94439000.0,94300000.0,94386000.0,7.23992914,683134036.09496,203643.58369758725,184191.3651615605,Hold
2024-03-23 23:39:00,94386000.0,94408000.0,94318000.0,94402000.0,2.91411641,274992956.71023,189309.2704425007,185214.94621774854,Hold
2024-03-23 23:40:00,94402000.0,94559000.0,94386000.0,94393000.0,8.08196998,763282892.75407,175203.36381310225,183212.6297368193,Hold
2024-03-23 23:41:00,94393000.0,94393000.0,94251000.0,94295000.0,5.34143652,503883775.97304,154337.4442166984,177437.59263279516,Hold
2024-03-23 23:42:00,94296000.0,94378000.0,94285000.0,94327000.0,1.58362066,149350925.24696,138783.376792565,169706.74946474913,Sell
